gene	status	length_ours	length_reference	length_difference	first_difference_1_based	orf_end_1_based	first_difference_is_right_after_orf	triplet_at_difference_in_ours	triplet_is_stop_codon
ENSG00000000003	extra_triplet_right_after_orf	2206	2203	3	848	847	True	TAA	True
ENSG00000000457	extra_triplet_right_after_orf	3090	3087	3	2449	2448	True	TGA	True
ENSG00000000460	extra_triplet_right_after_orf	4355	4352	3	3260	3259	True	TGA	True
ENSG00000000938	extra_triplet_right_after_orf	2729	2726	3	1877	1876	True	TAG	True
ENSG00000000971	extra_triplet_right_after_orf	4127	4124	3	3934	3933	True	TAG	True
ENSG00000001036	extra_triplet_right_after_orf	2356	2353	3	1458	1457	True	TAA	True
ENSG00000001084	extra_triplet_right_after_orf	3813	3810	3	2396	2395	True	TAG	True
ENSG00000001167	extra_triplet_right_after_orf	3811	3808	3	1243	1242	True	TAA	True
ENSG00000001460	extra_triplet_right_after_orf	2804	2801	3	1258	1257	True	TAG	True
ENSG00000001461	extra_triplet_right_after_orf	1711	1708	3	1587	1586	True	TGA	True
ENSG00000001497	extra_triplet_right_after_orf	2439	2436	3	2246	2243	True	TGA	True
ENSG00000001561	extra_triplet_right_after_orf	4651	4648	3	1590	1589	True	TGA	True
ENSG00000001617	extra_triplet_right_after_orf	3802	3799	3	2840	2839	True	TGA	True
ENSG00000001629	extra_triplet_right_after_orf	6081	6078	3	3644	3643	True	TGA	True
ENSG00000001630	extra_triplet_right_after_orf	3210	3207	3	1694	1693	True	TGA	True
ENSG00000001631	extra_triplet_right_after_orf	4762	4759	3	2993	2992	True	TGA	True
ENSG00000002016	extra_triplet_right_after_orf	2710	2707	3	1394	1393	True	TAA	True
ENSG00000002330	extra_triplet_right_after_orf	1157	1154	3	776	775	True	TGA	True
ENSG00000002549	extra_triplet_right_after_orf	2213	2210	3	1833	1831	True	TAG	True
ENSG00000002586	extra_triplet_right_after_orf	1245	1242	3	738	737	True	TAG	True
ENSG00000002745	extra_triplet_right_after_orf	3147	3144	3	1386	1385	True	TAA	True
ENSG00000002746	extra_triplet_right_after_orf	9501	9498	3	5424	5423	True	TGA	True
ENSG00000002822	extra_triplet_right_after_orf	2991	2988	3	2713	2712	True	TAG	True
ENSG00000002834	extra_triplet_right_after_orf	4109	4106	3	1115	1114	True	TGA	True
ENSG00000002919	extra_triplet_right_after_orf	2733	2730	3	1165	1164	True	TGA	True
ENSG00000003056	extra_triplet_right_after_orf	2756	2753	3	1301	1300	True	TAG	True
ENSG00000003137	extra_triplet_right_after_orf	4732	4729	3	1741	1740	True	TAA	True
ENSG00000003147	extra_triplet_right_after_orf	2458	2455	3	1717	1716	True	TGA	True
ENSG00000003393	extra_triplet_right_after_orf	6644	6641	3	5345	5344	True	TAG	True
ENSG00000003400	extra_triplet_right_after_orf	5928	5925	3	2002	2001	True	TAG	True
ENSG00000003436	extra_triplet_right_after_orf	3649	3646	3	941	940	True	TGA	True
ENSG00000003509	extra_triplet_right_after_orf	2176	2173	3	1365	1363	True	TGA	True
ENSG00000003756	extra_triplet_right_after_orf	3188	3185	3	2621	2620	True	TGA	True
ENSG00000003987	extra_triplet_right_after_orf	3850	3847	3	2016	2015	True	TGA	True
ENSG00000003989	extra_triplet_right_after_orf	7560	7557	3	2143	2142	True	TAA	True
ENSG00000004059	extra_triplet_right_after_orf	1103	1100	3	695	694	True	TAA	True
ENSG00000004139	extra_triplet_right_after_orf	10309	10306	3	2544	2543	True	TAA	True
ENSG00000004142	extra_triplet_right_after_orf	2121	2118	3	1179	1178	True	TAG	True
ENSG00000004399	extra_triplet_right_after_orf	7094	7091	3	5955	5954	True	TGA	True
ENSG00000004455	extra_triplet_right_after_orf	1021	1018	3	883	881	True	TAA	True
ENSG00000004468	extra_triplet_right_after_orf	5668	5665	3	1038	1037	True	TGA	True
ENSG00000004478	extra_triplet_right_after_orf	3732	3729	3	1565	1564	True	TAG	True
ENSG00000004487	extra_triplet_right_after_orf	3059	3056	3	2733	2732	True	TGA	True
ENSG00000004534	extra_triplet_right_after_orf	3750	3747	3	3629	3628	True	TAA	True
ENSG00000004660	extra_triplet_right_after_orf	3508	3505	3	1610	1609	True	TGA	True
ENSG00000004700	extra_triplet_right_after_orf	3702	3699	3	2418	2416	True	TGA	True
ENSG00000004766	extra_triplet_right_after_orf	3613	3610	3	3022	3020	True	TAA	True
ENSG00000004777	extra_triplet_right_after_orf	3858	3855	3	3463	3462	True	TGA	True
ENSG00000004799	extra_triplet_right_after_orf	3576	3573	3	1432	1431	True	TGA	True
ENSG00000004838	extra_triplet_right_after_orf	2896	2893	3	2594	2593	True	TGA	True
ENSG00000004848	extra_triplet_right_after_orf	2876	2873	3	1898	1897	True	TAA	True
ENSG00000004864	extra_triplet_right_after_orf	3192	3189	3	2220	2219	True	TAG	True
ENSG00000004866	extra_triplet_right_after_orf	2899	2896	3	1970	1969	True	TGA	True
ENSG00000004961	extra_triplet_right_after_orf	2277	2274	3	1007	1006	True	TAA	True
ENSG00000004975	extra_triplet_right_after_orf	3018	3015	3	2492	2491	True	TAG	True
ENSG00000005001	extra_triplet_right_after_orf	1386	1383	3	1018	1017	True	TAG	True
ENSG00000005007	extra_triplet_right_after_orf	5311	5308	3	3597	3596	True	TAA	True
ENSG00000005020	extra_triplet_right_after_orf	3998	3995	3	1392	1391	True	TGA	True
ENSG00000005022	extra_triplet_right_after_orf	1274	1271	3	1011	1010	True	TAA	True
ENSG00000005059	extra_triplet_right_after_orf	2278	2275	3	1143	1141	True	TAA	True
ENSG00000005073	extra_triplet_right_after_orf	2295	2292	3	1012	1011	True	TAA	True
ENSG00000005075	extra_triplet_right_after_orf	784	781	3	521	520	True	TGA	True
ENSG00000005100	extra_triplet_right_after_orf	5618	5615	3	2323	2322	True	TGA	True
ENSG00000005156	extra_triplet_right_after_orf	8400	8397	3	3161	3160	True	TAG	True
ENSG00000005175	extra_triplet_right_after_orf	4370	4367	3	2113	2111	True	TGA	True
ENSG00000005187	extra_triplet_right_after_orf	2845	2842	3	2234	2233	True	TAA	True
ENSG00000005189	extra_triplet_right_after_orf	2722	2719	3	2532	2531	True	TGA	True
ENSG00000005194	extra_triplet_right_after_orf	2182	2179	3	1179	1178	True	TAG	True
ENSG00000005206	extra_triplet_right_after_orf	3456	3453	3	1857	1856	True	TAG	True
ENSG00000005238	extra_triplet_right_after_orf	3256	3253	3	2155	2153	True	TGA	True
ENSG00000005249	extra_triplet_right_after_orf	3745	3742	3	1514	1513	True	TGA	True
ENSG00000005302	extra_triplet_right_after_orf	2345	2342	3	1669	1668	True	TAA	True
ENSG00000005339	extra_triplet_right_after_orf	10803	10800	3	8137	8136	True	TAG	True
ENSG00000005436	extra_triplet_right_after_orf	4440	4437	3	2478	2477	True	TGA	True
ENSG00000005448	extra_triplet_right_after_orf	1147	1144	3	1091	1090	True	TGA	True
ENSG00000005469	extra_triplet_right_after_orf	2959	2956	3	2120	2119	True	TAG	True
ENSG00000005471	extra_triplet_right_after_orf	4020	4017	3	3971	3970	True	TGA	True
ENSG00000005483	extra_triplet_right_after_orf	6874	6871	3	6120	6119	True	TAA	True
